car_model,dongles,routes
RIVIAN_R1_GEN1,16,265
ACURA_MDX_3G_MMR,1,264
FORD_F_150_MK14,11,163
HONDA_CIVIC,4,107
CHEVROLET_SILVERADO,3,98
TESLA_AP3_MODEL_3,11,62
TOYOTA_PRIUS,12,57
HYUNDAI_IONIQ_5,10,49
KIA_NIRO_EV,5,38
TOYOTA_RAV4_TSS2_2023,5,36
TESLA_MODEL_X,2,34
HYUNDAI_IONIQ_5_2022,5,33
CHEVROLET_BOLT_EUV_2022,6,33
HYUNDAI_IONIQ_6,1,33
KIA_EV6,7,30
VOLKSWAGEN_GOLF_MK7,3,29
FORD_ESCAPE_MK4_5,1,27
FORD_MAVERICK_MK1,3,26
HYUNDAI_KONA_ELECTRIC_2019,3,26
GENESIS_G70_2024,2,24
FORD_MUSTANG_MACH_E_MK1,2,23
HONDA_CIVIC_2022,3,21
HYUNDAI_PALISADE_2023,4,21
TESLA_MODELY,8,21
CHEVROLET_BOLT_EUV,3,19
HONDA_ACCORD_HYBRID_2018,1,18
VOLKSWAGEN_JETTA_MK7,1,18
PORSCHE_MACAN_MK1,2,17
HONDA_FIT_4G,1,17
VOLKSWAGEN_SHARAN_MK2,3,17
HONDA_CIVIC_BOSCH,3,15
VOLKSWAGEN_TIGUAN_MK2,3,15
TOYOTA_RAV4_PRIME,9,15
HONDA_CRV_6G,4,14
HYUNDAI_ELANTRA_HEV_2024,2,14
KIA_EV6_2022,4,14
HYUNDAI_PALISADE,1,14
VOLKSWAGEN_PASSAT_NMS,1,13
VOLKSWAGEN_ID4_MK1,2,13
CHEVROLET_SILVERADO_1500_2020,1,13
RAM_HD_5TH_GEN,2,13
KIA_SPORTAGE_5TH_GEN,3,13
VOLKSWAGEN_ATLAS_MK1,2,13
TOYOTA_CAMRY_2021,2,12
KiaNiro2023,2,12
HONDA_CITY_7G,1,11
KIA_NIRO_PHEV_2022,2,11
KIA_CARNIVAL_4TH_GEN,3,11
TOYOTA_COROLLA_TSS2,8,11
HONDA_ACCORD_11G,3,11
TOYOTA_RAV4_2023,4,11
CHEVROLET_VOLT_PREMIER_2018,2,11
TOYOTA_CAMRY_TSS2,3,10
GENESIS_GV60_EV_1ST_GEN,1,10
HYUNDAI_SONATA_HYBRID,4,9
FORD_F_150_LIGHTNING_MK1,2,9
HONDA_ODYSSEY_2018,1,8
NISSAN_LEAF,2,8
ACURA_INTEGRA,1,8
GENESIS_G70_1ST_GEN_FL,1,8
SKODA_SUPERB_MK3,2,8
CHEVROLET_TRAILBLAZER,2,8
HONDA_ODYSSEY_5G_MMR,2,8
HYUNDAI_ELANTRA_2022_NON_SCC,1,7
MAZDA_CX5_2022,2,7
RAM_1500_5TH_GEN,4,7
CHEVROLET_EQUINOX,1,7
SUBARU_IMPREZA,2,7
SKODA_KODIAQ_1ST_GEN,1,7
HYUNDAI_IONIQ_6_2023,1,7
HONDA_HRV_3G,1,7
TOYOTA_COROLLA,5,7
HYUNDAI_ELANTRA_2024,1,7
HYUNDAI_SONATA_HEV_2024,1,6
HYUNDAI_SONATA,1,6
TOYOTA_HIGHLANDER_2020,2,6
KIA_NIRO_EV_2ND_GEN,2,6
HYUNDAI_KONA_EV,2,6
KIA_EV9,2,6
KIA_NIRO_EV_2020,1,6
HYUNDAI_IONIQ_5_PE,1,6
HYUNDAI_IONIQ_PHEV_2020,1,5
VOLVO_V60,1,5
CHEVROLET_VOLT_PREMIER_2017,2,5
FORD_BRONCO_SPORT_MK1,3,5
HYUNDAI_TUCSON_HYBRID_4TH_GEN,1,5
HYUNDAI_ELANTRA_2021,2,5
HONDA_ACCORD,3,5
HONDA_CLARITY,2,5
KIA_STINGER,1,5
TOYOTA_YARIS,1,5
KIA_NIRO_HYBRID_2ND_GEN,1,4
VOLKSWAGEN_ID4_MK2,1,4
SUBARU_IMPREZA_2020,1,4
HYUNDAI_SANTA_FE_5TH_GEN,1,4
JEEP_CHEROKEE_5TH_GEN,1,4
HYUNDAI_KONA,1,4
SUBARU_CROSSTREK_2024,1,4
FORD_RANGER_MK2,2,4
SUBARU_FORESTER,2,4
KIA_CARNIVAL_HEV_4TH_GEN,3,4
HYUNDAI_KONA_EV_2022,1,3
AUDI_Q5_MK1,1,3
LEXUS_ES_TSS2,2,3
JEEP_GRAND_CHEROKEE_2019,3,3
HONDA_CLARITY_2018,1,3
HONDA_PILOT_4G,2,3
TESLA_MODEL_S_RAVEN,2,3
HYUNDAI_IONIQ_ELECTRIC_2020,1,3
HONDA_ODYSSEY_CHN_2019,1,3
HONDA_CRV_5G,1,3
SUBARU_FORESTER_2022,1,3
VOLKSWAGEN_TAOS_MK1,1,3
HYUNDAI_SANTA_FE,1,3
JEEP_GRAND_CHEROKEE,1,3
NISSAN_ROGUE,1,2
TOYOTA_ALPHARD_2020,1,2
KIA_CEED_PHEV_2022_NON_SCC,1,2
HYUNDAI_IONIQ_HEV_2022,1,2
GENESIS_GV70_1ST_GEN,1,2
HYUNDAI_SANTA_FE_2019,1,2
LEXUS_RC_TSS2,1,2
LEXUS_RX_HYBRID_2017,1,2
VOLKSWAGEN_TOURAN_2ND_GEN,1,2
HONDA_PILOT,1,2
HONDA_ODYSSEY,1,2
VOLKSWAGEN_CADDY_3RD-GEN,1,2
VOLKSWAGEN_PASSAT_MK8,2,2
SUBARU_OUTBACK_PREGLOBAL,1,2
GENESIS_GV80_2025,1,2
HYUNDAI_KONA_2022,1,2
KIA_EV6_2025,1,1
HYUNDAI_SONATA_2024,1,1
AUDI_A4_4TH_GEN,1,1
VOLVO_V40_2017,1,1
VOLKSWAGEN_JETTA_MK6,1,1
HONDA_RIDGELINE_2017,1,1
TOYOTA_HIGHLANDER_TSS2,1,1
SUBARU_LEGACY_2025,1,1
VOLKSWAGEN_TRANSPORTER_T61,1,1
LEXUS_RX_TSS2,1,1
HYUNDAI_KONA_2ND_GEN,1,1
GENESIS_GV80,1,1
LEXUS_LC_2024,1,1
HYUNDAI_TUCSON_HEV_2025,1,1
KIA_K8_HYBRID_1ST_GEN,1,1
HYUNDAI_SONATA_2020,1,1
FORD_EXPLORER_MK6,1,1
HYUNDAI_TUCSON_2019,1,1
TOYOTA_HIGHLANDER_HYBRID_2020,1,1
HYUNDAI_ELANTRA_HEV_2021,1,1
CHEVROLET_EQUINOX_2019,1,1
SUBARU_OUTBACK_2018_-_2019,1,1
HONDA_CRV_HYBRID,1,1
SUBARU_ASCENT_2023,1,1
TOYOTA_RAV4_HYBRID_2023,1,1
TOYOTA_HIGHLANDER,1,1
TOYOTA_RAV4_2017,1,1
VOLKSWAGEN_UP_MK1,1,1
GENESIS_GV80_2024,1,1
BYD_ATTO3,1,1
TESLA_MODEL_3,1,1
SUBARU_CROSSTREK_2025,1,1
