metric,N,mean,median,P5,P25,P75,P95
missingness_carControl,15705,0.002037567653613499,,,,,
missingness_carOutput,15705,0.23884113339700733,,,,,
missingness_carState,15705,0.0024832855778414518,,,,,
missingness_controlsState,15705,0.0007004138809296402,,,,,
missingness_drivingModelData,15705,0.3391276663482967,,,,,
missingness_longitudinalPlan,15705,0.0040114613180515755,,,,,
Lane prob. min (pre),10240,0.43850828601281366,0.32580985128879547,0.007518379157409016,0.0615405868738889,0.875893235206604,0.9865944951772689
Lane prob. mean (pre),10240,0.5588158622329203,0.614365850885709,0.02493218254918842,0.17493025620157515,0.9380282367269198,0.9912968142827351
"Lane center range (pre, m)",10240,0.36740069874795156,0.2236328125,0.04814426898956308,0.1142578125,0.4561767578125,1.1744690492749217
"Lane width mean (pre, m)",10240,3.325588928078399,3.289293788870175,2.7011621950566767,3.038214271267255,3.510254124800364,4.186864227354526
Curv. mismatch mean (pre),15379,0.003908141497051508,0.0002528618753422,0.0,7.583180222637016e-05,0.0007993708684504,0.008933754436438825
"Curv. mismatch max (pre, winsorized)",15379,0.006476178214315725,0.000706991246261,0.0,0.00023653742391610002,0.0021472060179803,0.024010662361979428
"aTarget min (pre, m/s²)",15354,-0.4893017491351154,-0.1108675897121429,-2.0,-0.8761966973543167,0.0,0.18914632871746923
"aTarget mean (pre, m/s²)",15354,-0.2347182768869961,0.0,-1.3951072899500527,-0.43367079632201544,0.0,0.5400259742363425
"Planned speed drop (pre, m/s)",15237,1.5080130030448016,0.7739601135253906,0.0,0.1251354217529297,2.584930419921875,4.913798522949217
hasLead rate (pre),15354,0.5000863520888662,0.5,0.0,0.0,1.0,1.0
leadVisible rate (pre),15357,0.4979625514731409,0.47,0.0,0.0,1.0,1.0
Lead inconsistency rate (pre),15348,0.009553431270969042,0.0,0.0,0.0,0.0,0.05
"Jerk max (post, m/s³)",15227,5.8766968999155935,4.5224493159024215,1.65525984435221,3.0361960689852023,6.992436751544087,14.664192943685766
"Steer rate max (post, °/s)",15227,51.55237009197894,20.881600372215637,2.029921023404041,9.05838192923172,51.426845570458354,223.91256197211328
"Curvature rate max (post, 1/m·s)",15226,0.019087814104237443,0.00629242983774955,0.0006862561581129751,0.002682953689929175,0.017323791261110725,0.08160857268532047
"Accel plan→output RMSE (pre, gated)",4212,0.2865224447829784,0.0308595622110386,0.0004633393423283051,0.006201154187506225,0.17344028735186454,1.4793937792385548
"Accel plan→output RMSE (post, gated)",2389,0.2712831267231185,0.0414874759397293,0.00056460884157648,0.0078287405671925,0.1597928139599052,0.8366458353054771
Accel output→state RMSE (pre),11797,0.6856345017323615,0.4666637095525047,0.07265902693550587,0.2072017574813413,0.9190255014547892,2.0195096253105853
Accel output→state RMSE (post),11752,0.9806447925276254,0.8094142505791271,0.1715989061217781,0.4346799219773189,1.3505860016650346,2.2299859737131653
Curv. plan→output RMSE (pre),11795,0.017459565145921774,4.2691533093342624e-05,4.3465445119788187e-07,1.4114183210792892e-05,0.00013589514537529999,0.0014630723256536487
Curv. plan→output RMSE (post),11750,0.022800390665390382,6.348927081658745e-05,3.024614955720538e-06,2.1235538397085198e-05,0.000248607618522425,0.0025833509834319967
"Stabilization time (uncensored, s)",2390,1.490095564644358,1.3498069999999984,0.00486739999999554,0.050472875000004025,2.6305792499998404,3.6499015750000243
Stabilization censored rate,15705,0.8478191658707418,,,,,
Jerk max post (m/s³) | Brake Override,3948,5.931691897791619,4.693651187512278,4.560057511101778,,,4.808155332299364
Jerk max post (m/s³) | Gas Override,1366,4.738462772486293,3.6011535108802155,3.5021908134211737,,,3.7456879571770063
Jerk max post (m/s³) | Steering Override,8291,6.2867996406487405,4.778895564277983,4.718569775482433,,,4.85957475533854
Jerk max post (m/s³) | System / Unknown,1586,4.593420350637044,3.7259100530168956,3.6126804604915272,,,3.847632840969684
Steer rate max post (°/s) | Brake Override,3948,43.79122028911036,15.001125249826728,14.096204245020417,,,15.832036704218766
Steer rate max post (°/s) | Gas Override,1366,29.540164941813547,12.340382600634019,11.80855144152268,,,13.037027064188605
Steer rate max post (°/s) | Steering Override,8291,63.31552655229257,28.56520578229111,27.78852645269417,,,29.297972399522976
Steer rate max post (°/s) | System / Unknown,1586,26.552870640697115,12.222901069097485,11.769894839082074,,,13.054953725827536
flag_lead_inconsistency,15348,0.02782121449048736,427.0,,,,
flag_low_lane_prob,10240,0.48720703125,4989.0,,,,
flag_high_curv_mismatch,15379,0.05000325118668314,769.0,,,,
flag_output_aggressive_low_lane,10240,0.03662109375,375.0,,,,
flag_plan_output_outlier,4212,0.05009496676163343,211.0,,,,
