car_model,dongle_id,route_id,clip_id,log_kind,log_hz,anomaly_jerk_extreme,anomaly_steer_rate_extreme,anomaly_ttc_tail,anomaly_drac_tail,anomaly_lead_dropout,anomaly_stabilization_censored,anomaly_nan_rate_high,anomaly_any,anomaly_reason
ACURA_INTEGRA,3f8ae015ce70365f,00000000--5c5085329e,0,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000000--5c5085329e,1,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000000--5c5085329e,2,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000002--6e1f6be28d,0,rlog,100,False,False,False,False,False,False,False,False,
ACURA_INTEGRA,3f8ae015ce70365f,00000003--a22590d0e4,2,rlog,100,False,False,False,False,False,False,False,False,
ACURA_INTEGRA,3f8ae015ce70365f,00000002--6e1f6be28d,1,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000003--a22590d0e4,1,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000002--75e758301f,1,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000002--75e758301f,0,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000002--6e1f6be28d,4,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000002--6e1f6be28d,2,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000003--a22590d0e4,4,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000003--a22590d0e4,3,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000006--c23d7d1cc6,0,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000002--6e1f6be28d,3,rlog,100,False,False,False,False,True,True,False,True,lead_dropout; stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000003--a22590d0e4,0,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000006--c23d7d1cc6,1,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,0000004a--1ce8db671f,2,qlog,10,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,0000004a--1ce8db671f,0,qlog,10,False,False,False,False,False,False,False,False,
ACURA_INTEGRA,3f8ae015ce70365f,000000fe--b691f954c2,2,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,000000fe--b691f954c2,0,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,000000fe--b691f954c2,3,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,0000004a--1ce8db671f,3,qlog,10,False,False,False,False,False,False,False,False,
ACURA_INTEGRA,3f8ae015ce70365f,000000fe--b691f954c2,4,rlog,100,False,False,False,False,False,False,False,False,
ACURA_INTEGRA,3f8ae015ce70365f,000000fe--b691f954c2,1,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000006--c23d7d1cc6,2,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,0000004a--1ce8db671f,1,qlog,10,False,False,False,False,False,False,False,False,
ACURA_INTEGRA,3f8ae015ce70365f,00000220--6f00ebfb89,0,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000000--af57161a56,0,qlog,10,False,True,False,False,False,True,False,True,extreme_steer_rate; stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000000--af57161a56,1,qlog,10,False,True,False,False,False,True,False,True,extreme_steer_rate; stab_censored
ACURA_INTEGRA,3f8ae015ce70365f,00000220--6f00ebfb89,1,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000000--c2b106d31c,1,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000000--c2b106d31c,0,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000000--c2b106d31c,2,qlog,10,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000000--c2b106d31c,4,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000000--c2b106d31c,5,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--a13f11beb2,0,qlog,10,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--a13f11beb2,2,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--a13f11beb2,1,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--a13f11beb2,3,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--a13f11beb2,4,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000000--c2b106d31c,3,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,10,rlog,100,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,12,rlog,100,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,1,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,11,rlog,100,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,2,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,13,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,3,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,4,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,0,rlog,100,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,5,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,6,rlog,100,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--caebf3c86b,0,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--caebf3c86b,1,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,7,rlog,100,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--caebf3c86b,11,qlog,10,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--caebf3c86b,12,qlog,10,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--c628e61292,9,rlog,100,False,False,False,False,False,True,False,True,stab_censored
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--caebf3c86b,10,qlog,10,False,False,False,False,False,False,False,False,
ACURA_MDX_3G_MMR,ad9840558640c31d,00000001--caebf3c86b,2,qlog,10,False,False,False,False,False,True,False,True,stab_censored
