dongle_id,route_id,lat,lng
064d1816e448f8eb,2022-09-29--07-53-07,25.0716,121.515
09559f1fcaed4704,2023-12-21--18-17-36,32.5234,-97.3496
09559f1fcaed4704,2023-08-30--17-02-39,32.4485,-97.2551
09559f1fcaed4704,2022-12-27--07-17-55,32.5647,-97.3243
01d4ba35f8288743,2023-04-10--19-28-33,33.0193,-96.7132
064d1816e448f8eb,2024-02-26--17-20-15,25.0141,121.465
09559f1fcaed4704,2023-08-17--19-50-24,32.4769,-97.3391
064d1816e448f8eb,2024-02-26--08-34-21,25.0716,121.515
064d1816e448f8eb,2024-02-27--16-51-11,25.075,121.514
071ba9916a1da2fa,2022-02-26--16-48-52,34.3111,-118.425
0bbe367c98fa1538,2024-02-03--15-02-21,24.9626,121.326
0b17985326a570c4,2023-01-24--13-54-22,36.2392,-80.3505
0bbe367c98fa1538,2024-02-19--06-44-48,24.9844,121.288
0bbe367c98fa1538,2024-02-23--15-15-49,24.9857,121.292
0bbe367c98fa1538,2024-02-23--20-41-41,24.9964,121.289
0bbe367c98fa1538,2024-02-23--17-31-02,24.9864,121.287
0bbe367c98fa1538,2024-02-03--16-26-36,25.0345,121.286
0bbe367c98fa1538,2024-03-05--10-51-30,24.9884,121.288
0bbe367c98fa1538,2024-02-23--16-32-03,24.9842,121.29
0bbe367c98fa1538,2024-02-22--03-54-56,24.9864,121.287
0bbe367c98fa1538,2024-03-18--18-28-18,24.9831,121.29
0d79d2c92f4da0eb,2023-08-29--14-50-42,35.9417,-86.653
0d798915363d7aa8,2023-12-11--10-22-38,40.65,-74.012
0d798915363d7aa8,2023-12-09--08-53-49,40.6118,-74.0296
0d79d2c92f4da0eb,2023-08-29--16-50-18,35.9765,-86.6648
0d79d2c92f4da0eb,2023-09-05--14-49-55,35.9421,-86.6543
0bbe367c98fa1538,2024-03-07--14-01-15,25.0023,121.463
0d965213ab7ceffa,2024-03-02--15-24-16,55.8195,11.461
0d79d2c92f4da0eb,2023-08-28--15-07-16,35.9495,-86.6678
0d79d2c92f4da0eb,2023-08-30--22-40-46,35.9829,-86.6626
0def4a390f6fe5c0,2023-02-15--18-42-22,42.5554,-82.8698
0def4a390f6fe5c0,2023-09-06--20-35-36,42.3331,-83.034
0def4a390f6fe5c0,2023-02-26--14-48-59,42.7302,-83.0887
0f65bad23b2fd968,2023-12-13--19-30-50,46.9376,-120.518
0def4a390f6fe5c0,2023-02-24--17-17-35,42.5587,-82.8483
0f65bad23b2fd968,2024-01-02--15-46-56,46.9775,-120.279
0f65bad23b2fd968,2024-02-29--15-24-57,46.9553,-120.528
112e4d6e0cad05e1,2023-11-14--08-21-43,35.5596,-77.3868
112e4d6e0cad05e1,2023-12-18--17-13-16,35.5533,-77.4009
112e4d6e0cad05e1,2024-01-04--17-54-49,35.5975,-77.3308
112e4d6e0cad05e1,2024-01-11--15-20-56,35.6103,-77.3536
