clip_key,yolo_n_keyframes,yolo_n_detections,yolo_traffic_light_present,yolo_bus_present,yolo_car_present,yolo_person_present,yolo_stop_sign_present,yolo_bicycle_present,yolo_truck_present,yolo_car_max_conf,yolo_person_max_conf,yolo_truck_max_conf,yolo_traffic_light_max_conf,yolo_stop_sign_max_conf,yolo_bus_max_conf,yolo_bicycle_max_conf
ACURA_INTEGRA/3f8ae015ce70365f/00000000--5c5085329e/0,5,3,False,False,True,False,False,False,False,0.6623,,,,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000000--5c5085329e/1,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000000--5c5085329e/2,5,8,False,False,True,True,False,False,True,0.7805,0.4686,0.4624,,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000002--6e1f6be28d/1,5,1,False,False,False,False,False,False,True,,,0.4923,,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000003--a22590d0e4/1,5,3,False,False,True,False,False,False,False,0.6418,,,,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000002--75e758301f/1,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000002--75e758301f/0,5,5,False,False,True,False,False,False,False,0.7502,,,,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000002--6e1f6be28d/4,5,38,True,False,True,False,False,False,True,0.9236,,0.4099,0.8246,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000002--6e1f6be28d/2,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000003--a22590d0e4/4,5,16,True,False,True,False,False,False,False,0.8985,,,0.4276,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000003--a22590d0e4/3,5,24,False,False,True,False,False,False,False,0.8776,,,,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000006--c23d7d1cc6/0,5,5,False,False,True,False,False,False,False,0.8665,,,,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000002--6e1f6be28d/3,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000003--a22590d0e4/0,5,15,True,False,True,False,False,False,True,0.807,,0.5356,0.7458,,,
ACURA_INTEGRA/3f8ae015ce70365f/00000006--c23d7d1cc6/1,5,1,False,False,True,False,False,False,False,0.7167,,,,,,
